"카테고리명",카테고리코드
"1.플라워 디스플레이",022
"장미 가지",022060002
"장미 (부쉬 부케형)",022060001
"수국, 스노우볼 가지",022060003
"수국, 스노우볼 (부쉬 부케형)",022060004
"작약, 모란, 피오니",022060005
"난, 오키드",022060010
"연꽃, 연잎, 수초 플로팅",022060009
"개나리,진달래,민들레,버들,유채",022060013
"목련, 마그놀리아",022060011
"매화, 벚꽃, 블러썸",022060015
"카네이션",022060024
"해바라기",022060008
"양귀비,뽀삐,꽈리,엉겅퀴,에린기움",022060007
"라넌큘러스, 동백",022060017
"라벤더",022060018
"튤립, 방울꽃",022060016
"라일락, 덴파레, 델피늄, 스톡",022060020
"카라, 백합, 카사블랑카",022060014
"데이지, 거베라, 국화, 멈",022060022
"목화, 다알리아",022060012
"안개꽃, 집소",022060039
"등나무꽃, 아마란투스",022060030
"쟈스민, 아네모네, 팬지, 부겐",022060019
"코스모스,리시안셔스,니겔라",022060032
"스카비오사, 자리공",022060023
"퀸앤레이스,왁스,조팝,썸바디",022060025
"알륨, 폼폰, 백일홍",022060026
"스키미아, 브로콜리, 씨드",022060043
"안시륨, 스파티필룸",022060027
"도그우드, 클레마티스",022060028
"별꽃, 냉이꽃, 유카리",022060029
"제라늄, 아마릴리스",022060036
"아스틸베, 미모사",022060031
"수선화, 후리지아, 히아신스",022060037
"방크시아, 프로테아, 아티초크",022060035
"극락조, 헬리코니아, 열대꽃",022060040
"- 기타꽃 - 부쉬 다발류",022060041
"- 기타꽃 - 가지 스프레이류",022060042
"- 기타꽃 - 믹스 부쉬 · 꽃다발",022060006
"- 기타꽃 - 열매 조화",022060044
"리스 스웨그 꽃볼등 꽃장식 etc",022061001
"예쁜 조화꽃 화분",022061004
"꽃다발&비누꽃",022061005
"조화 꽃 머리",022062001
"조화 꽃잎",022062002
"앤틱 스폰지 아트플라워",022062003
"프리저브드 플라워&소재",022062008
"드라이&소재&라탄&디퓨져픽",022062009
"꽃 넝쿨 갈란드, 바인, 로핑",022062007
"2.녹색 식물 장식",002
"아이비",002001001
"유칼립투스 (유카리)",002001004
"보스톤,루모라 고사리,펀",002001013
"휘토니아,베고니아,콜레우스",002001003
"로즈마리,스프링게리",002001002
"필로,셀럼,알로카시아",002001005
"달개비,싱고니움,디펜,제브라",002001007
"스킨,포토스,호야",002001010
"피지백 포도잎",002001009
"파슬리,아스파라거스,밀러",002001011
"아디안텀",002001023
"칼라데아 페페로미아 생강초",002001022
"갈대,부들,컬러 팜파스,뮬리",002001014
"그래스 식물",002001017
"- 조화 그린식물 etc 부쉬 다발류",002001020
